Departamento de Caaguazú,Uno de los departamentos beneficiados con el proyecto de mantenimiento de rutas no pavimentadas. Cerca de 53 mil personas beneficiadas con las obras en los tramos que unen los distritos Colonias Unidas, Raúl Arsenio Oviedo y J. E. Estigarribia.
Departamento de San Pedro,Uno de los departamentos beneficiados con el mantenimiento de rutas no pavimentadas. Son beneficiarios más de 60 mil personas de los distritos de Chore, Colonia Cocuerá, Jhugua Rey, y Gral. Aquino.
Departamento de Caazapá,Uno de los departamentos beneficiados con el mejoramiento y mantenimiento de rutas no pavimentadas.Las obras en el tramo que une Caazapá – Boquerón benefician a  unas 22.074 personas.
GMANS 5 (Ruta 4),Rehabilitación y Mejoramiento de la Ruta 4. Tramo: San Ignacio (Misiones) - Pilar (Ñe'embucú).
MANTENIMIENTO DE CAMINOS NO PAVIMENTADOS EN SAN PEDRO,Une a los distritos de Gral. Elizardo Aquino, Choré y San Pablo.
MANTENIMIENTO DE CAMINOS NO PAVIMENTADOS - SAN PEDRO,Obras de mantenimiento en: Camino B08 Choré – Colonia Cocuera – San Pablo (35,5 Km) - Camino B09 Choré – Jhugua Rey (29,0 Km) - Jhugua Rey -  Gral. Aquino (25,5 km).
MANTENIMIENTO DE CAMINOS NO PAVIMENTADOS - CAAZAPÁ,Une los distritos de Caazapá y Boquerón (14,3 Km).
MANTENIMIENTO DE CAMINOS NO PAVIMENTADOS - CAAZAPÁ,Rehabilitación y Mejoramiento de Caminos No Pavimentados del Departamento de Caazapá. Tramo: Caazapá - Boquerón (14,30 Km).
MANTENIMIENTO DE CAMINOS NO PAVIMENTADOS - CAAGUAZÚ,Rehabilitación y mantenimiento de caminos no pavimentados en Colonias Unidas - Raúl Oviedo -Yjhovy Central - J.E.Estigarribia (35,70 Km)
Mantenimiento de caminos no pavimentados - Caaguazú,Une los distritos de Colonias Unidas - Raúl Oviedo -Yjhovy Central - J.E.Estigarribia.
GMANS 0 - Ruta 2 ,Tramo: San Lorenzo - Caacupé.
Mantenimiento de caminos no pavimentados - Caaguazú,Une los distritos de Colonias Unidas - Raúl Oviedo -Yjhovy Central - J.E.Estigarribia.
GMANS 0 Acceso Sur - Guarambaré,Tramo Acceso Sur Cuatro Mojones - Guarambaré.
GMANS 0 (Ruta 2),Rehabilitación y mejoramiento de Ruta 2: Tramo: San Lorenzo - Caacupé.
GMANS 0 (Acceso Sur),Rehabilitación y mejoramiento del Acceso Sur: Tramo Cuatro Mojones - Acceso Guarambaré.
GMANS 1 (Ruta 3),Mejoramiento y rehabilitación del tramo de la Ruta 3. Tramo: Limpio - San Estanislao.
GMANS 1 (Ruta 2),Mejoramiento y rehabilitación de la Ruta 2. Tramo Caacupé - Coronel Oviedo.
GMANS 1 (Ruta 2),Ruta 2: Caacupé-Coronel Oviedo Ruta 8: Coronel Oviedo- Calle 6000
GMANS 5 (Ruta 4) ,Rehabilitación y mejoramiento de la Ruta 4. Tramo: San Ignacio (Misiones) - Pilar (Ñe'embucú) - 134 km.
GMANS 1 - Ruta 3,Mejoramiento y mantenimiento de la ruta asfáltica que une Limpio - San Estanislao.
GMANS 1. Ruta 8,Mejoramiento y rehabilitación de la Ruta 8. Tramo  Coronel Oviedo - Calle 6000.
